input_sizes,output_layouts
"[(123, 296), (126, 107), (226, 284), (182, 262), (121, 97), (82, 164), (107, 73), (170, 206), (94, 157), (173, 272)]","[(294, 636, 417, 636, 417, 932, 294, 932), (546, 868, 672, 868, 672, 975, 546, 975), (186, 699, 412, 699, 412, 983, 186, 983), (279, 405, 461, 405, 461, 667, 279, 667), (561, 807, 682, 807, 682, 904, 561, 904), (420, 495, 502, 495, 502, 659, 420, 659), (274, 289, 381, 289, 381, 362, 274, 362), (379, 469, 549, 469, 549, 675, 379, 675), (295, 102, 389, 102, 389, 259, 295, 259), (668, 238, 841, 238, 841, 510, 668, 510)]"
"[(120, 168), (115, 227), (75, 107), (208, 110), (175, 215), (104, 58), (144, 237), (296, 116), (190, 156), (54, 109), (220, 71)]","[(749, 665, 869, 665, 869, 833, 749, 833), (41, 155, 156, 155, 156, 382, 41, 382), (704, 780, 779, 780, 779, 887, 704, 887), (165, 631, 373, 631, 373, 741, 165, 741), (752, 165, 927, 165, 927, 380, 752, 380), (394, 526, 498, 526, 498, 584, 394, 584), (562, 206, 706, 206, 706, 443, 562, 443), (674, 879, 970, 879, 970, 995, 674, 995), (432, 17, 622, 17, 622, 173, 432, 173), (779, 576, 833, 576, 833, 685, 779, 685), (649, 824, 869, 824, 869, 895, 649, 895)]"
"[(193, 159)]","[(232, 258, 425, 258, 425, 417, 232, 417)]"
"[(116, 90)]","[(60, 86, 176, 86, 176, 176, 60, 176)]"
"[(189, 161), (152, 158), (179, 193)]","[(383, 90, 572, 90, 572, 251, 383, 251), (845, 790, 997, 790, 997, 948, 845, 948), (517, 172, 696, 172, 696, 365, 517, 365)]"
"[(240, 93), (248, 235), (248, 117), (89, 299)]","[(555, 298, 795, 298, 795, 391, 555, 391), (164, 205, 412, 205, 412, 440, 164, 440), (255, 745, 503, 745, 503, 862, 255, 862), (907, 530, 996, 530, 996, 829, 907, 829)]"
"[(107, 122), (164, 212), (90, 270), (154, 254)]","[(689, 191, 796, 191, 796, 313, 689, 313), (548, 470, 712, 470, 712, 682, 548, 682), (776, 717, 866, 717, 866, 987, 776, 987), (676, 315, 830, 315, 830, 569, 676, 569)]"
"[(138, 254), (182, 274), (104, 118)]","[(387, 351, 525, 351, 525, 605, 387, 605), (459, 220, 641, 220, 641, 494, 459, 494), (724, 842, 828, 842, 828, 960, 724, 960)]"
"[(192, 113), (205, 165), (227, 66), (235, 264)]","[(584, 8, 776, 8, 776, 121, 584, 121), (737, 104, 942, 104, 942, 269, 737, 269), (122, 872, 349, 872, 349, 938, 122, 938), (416, 352, 651, 352, 651, 616, 416, 616)]"
"[(101, 266), (60, 284), (160, 87), (227, 269), (179, 243), (250, 95), (54, 206), (239, 150), (252, 114)]","[(271, 56, 372, 56, 372, 322, 271, 322), (316, 123, 376, 123, 376, 407, 316, 407), (780, 707, 940, 707, 940, 794, 780, 794), (350, 14, 577, 14, 577, 283, 350, 283), (508, 359, 687, 359, 687, 602, 508, 602), (149, 267, 399, 267, 399, 362, 149, 362), (377, 756, 431, 756, 431, 962, 377, 962), (607, 762, 846, 762, 846, 912, 607, 912), (98, 157, 350, 157, 350, 271, 98, 271)]"
"[(68, 104)]","[(425, 770, 493, 770, 493, 874, 425, 874)]"
"[(249, 176), (126, 265), (211, 221), (196, 57), (51, 154), (52, 275), (222, 255)]","[(653, 39, 902, 39, 902, 215, 653, 215), (398, 166, 524, 166, 524, 431, 398, 431), (584, 759, 795, 759, 795, 980, 584, 980), (248, 621, 444, 621, 444, 678, 248, 678), (239, 5, 290, 5, 290, 159, 239, 159), (494, 633, 546, 633, 546, 908, 494, 908), (70, 700, 292, 700, 292, 955, 70, 955)]"
"[(77, 285), (276, 193)]","[(651, 100, 728, 100, 728, 385, 651, 385), (263, 452, 539, 452, 539, 645, 263, 645)]"
"[(219, 181), (210, 137), (292, 165), (196, 134), (172, 201), (280, 243), (227, 210), (182, 97), (152, 229), (235, 276), (139, 75), (295, 198)]","[(666, 70, 885, 70, 885, 251, 666, 251), (69, 535, 279, 535, 279, 672, 69, 672), (543, 181, 835, 181, 835, 346, 543, 346), (548, 43, 744, 43, 744, 177, 548, 177), (337, 124, 509, 124, 509, 325, 337, 325), (8, 245, 288, 245, 288, 488, 8, 488), (769, 471, 996, 471, 996, 681, 769, 681), (384, 450, 566, 450, 566, 547, 384, 547), (21, 671, 173, 671, 173, 900, 21, 900), (388, 407, 623, 407, 623, 683, 388, 683), (699, 813, 838, 813, 838, 888, 699, 888), (88, 64, 383, 64, 383, 262, 88, 262)]"
"[(63, 157), (170, 284), (217, 258), (87, 213)]","[(198, 610, 261, 610, 261, 767, 198, 767), (563, 117, 733, 117, 733, 401, 563, 401), (335, 158, 552, 158, 552, 416, 335, 416), (586, 399, 673, 399, 673, 612, 586, 612)]"
"[(158, 59), (281, 166), (199, 213), (74, 239), (267, 255), (116, 285), (186, 171)]","[(592, 606, 750, 606, 750, 665, 592, 665), (11, 304, 292, 304, 292, 470, 11, 470), (33, 101, 232, 101, 232, 314, 33, 314), (325, 504, 399, 504, 399, 743, 325, 743), (580, 573, 847, 573, 847, 828, 580, 828), (143, 506, 259, 506, 259, 791, 143, 791), (570, 43, 756, 43, 756, 214, 570, 214)]"
"[(146, 123)]","[(421, 28, 567, 28, 567, 151, 421, 151)]"
"[(121, 273), (165, 228), (118, 256), (102, 224), (298, 223), (89, 281), (125, 220), (94, 261), (153, 241)]","[(597, 254, 718, 254, 718, 527, 597, 527), (832, 134, 997, 134, 997, 362, 832, 362), (577, 195, 695, 195, 695, 451, 577, 451), (362, 143, 464, 143, 464, 367, 362, 367), (9, 361, 307, 361, 307, 584, 9, 584), (405, 372, 494, 372, 494, 653, 405, 653), (854, 653, 979, 653, 979, 873, 854, 873), (81, 177, 175, 177, 175, 438, 81, 438), (258, 53, 411, 53, 411, 294, 258, 294)]"
"[(186, 130), (82, 243), (160, 270), (158, 197), (179, 195), (114, 80), (97, 247), (63, 213), (168, 175)]","[(636, 728, 822, 728, 822, 858, 636, 858), (22, 313, 104, 313, 104, 556, 22, 556), (371, 517, 531, 517, 531, 787, 371, 787), (7, 802, 165, 802, 165, 999, 7, 999), (105, 634, 284, 634, 284, 829, 105, 829), (203, 346, 317, 346, 317, 426, 203, 426), (150, 595, 247, 595, 247, 842, 150, 842), (116, 174, 179, 174, 179, 387, 116, 387), (357, 623, 525, 623, 525, 798, 357, 798)]"
"[(124, 122)]","[(859, 721, 983, 721, 983, 843, 859, 843)]"
"[(174, 143), (125, 154), (201, 181), (61, 149), (200, 242), (194, 223), (183, 64), (52, 221), (254, 281), (252, 217), (189, 66), (265, 138)]","[(531, 778, 705, 778, 705, 921, 531, 921), (447, 31, 572, 31, 572, 185, 447, 185), (620, 190, 821, 190, 821, 371, 620, 371), (323, 790, 384, 790, 384, 939, 323, 939), (187, 323, 387, 323, 387, 565, 187, 565), (332, 362, 526, 362, 526, 585, 332, 585), (123, 509, 306, 509, 306, 573, 123, 573), (232, 106, 284, 106, 284, 327, 232, 327), (542, 381, 796, 381, 796, 662, 542, 662), (714, 10, 966, 10, 966, 227, 714, 227), (21, 720, 210, 720, 210, 786, 21, 786), (68, 484, 333, 484, 333, 622, 68, 622)]"
"[(87, 217)]","[(210, 540, 297, 540, 297, 757, 210, 757)]"
"[(106, 57), (266, 124), (259, 261), (56, 138), (291, 122), (155, 231)]","[(793, 728, 899, 728, 899, 785, 793, 785), (192, 66, 458, 66, 458, 190, 192, 190), (171, 528, 430, 528, 430, 789, 171, 789), (456, 246, 512, 246, 512, 384, 456, 384), (591, 194, 882, 194, 882, 316, 591, 316), (521, 55, 676, 55, 676, 286, 521, 286)]"
"[(255, 150), (251, 148), (298, 75), (135, 97), (150, 153), (269, 89), (64, 255), (206, 188)]","[(61, 613, 316, 613, 316, 763, 61, 763), (566, 605, 817, 605, 817, 753, 566, 753), (309, 837, 607, 837, 607, 912, 309, 912), (163, 253, 298, 253, 298, 350, 163, 350), (555, 792, 705, 792, 705, 945, 555, 945), (209, 856, 478, 856, 478, 945, 209, 945), (254, 635, 318, 635, 318, 890, 254, 890), (77, 694, 283, 694, 283, 882, 77, 882)]"
"[(139, 91), (84, 280)]","[(493, 578, 632, 578, 632, 669, 493, 669), (847, 296, 931, 296, 931, 576, 847, 576)]"
"[(191, 213), (155, 294), (139, 173), (292, 208), (265, 282), (107, 139), (300, 90), (230, 62)]","[(404, 158, 595, 158, 595, 371, 404, 371), (5, 386, 160, 386, 160, 680, 5, 680), (653, 195, 792, 195, 792, 368, 653, 368), (410, 511, 702, 511, 702, 719, 410, 719), (289, 322, 554, 322, 554, 604, 289, 604), (558, 364, 665, 364, 665, 503, 558, 503), (109, 660, 409, 660, 409, 750, 109, 750), (242, 569, 472, 569, 472, 631, 242, 631)]"
"[(174, 92), (57, 254), (60, 138), (147, 244), (79, 91), (152, 204), (101, 215)]","[(710, 578, 884, 578, 884, 670, 710, 670), (434, 570, 491, 570, 491, 824, 434, 824), (228, 498, 288, 498, 288, 636, 228, 636), (214, 263, 361, 263, 361, 507, 214, 507), (767, 259, 846, 259, 846, 350, 767, 350), (35, 153, 187, 153, 187, 357, 35, 357), (652, 690, 753, 690, 753, 905, 652, 905)]"
"[(52, 239), (298, 113), (97, 233), (268, 106), (158, 50), (294, 129), (202, 115), (152, 181), (208, 250), (247, 262), (209, 198)]","[(558, 438, 610, 438, 610, 677, 558, 677), (671, 725, 969, 725, 969, 838, 671, 838), (130, 77, 227, 77, 227, 310, 130, 310), (23, 267, 291, 267, 291, 373, 23, 373), (779, 853, 937, 853, 937, 903, 779, 903), (241, 387, 535, 387, 535, 516, 241, 516), (255, 44, 457, 44, 457, 159, 255, 159), (354, 687, 506, 687, 506, 868, 354, 868), (668, 0, 876, 0, 876, 250, 668, 250), (242, 32, 489, 32, 489, 294, 242, 294), (416, 176, 625, 176, 625, 374, 416, 374)]"
"[(123, 292), (131, 114), (162, 97), (189, 270), (219, 81), (112, 146), (131, 296), (108, 229), (192, 124), (182, 84)]","[(803, 647, 926, 647, 926, 939, 803, 939), (170, 633, 301, 633, 301, 747, 170, 747), (132, 816, 294, 816, 294, 913, 132, 913), (759, 690, 948, 690, 948, 960, 759, 960), (465, 460, 684, 460, 684, 541, 465, 541), (219, 581, 331, 581, 331, 727, 219, 727), (254, 626, 385, 626, 385, 922, 254, 922), (614, 705, 722, 705, 722, 934, 614, 934), (182, 404, 374, 404, 374, 528, 182, 528), (433, 732, 615, 732, 615, 816, 433, 816)]"
"[(151, 223), (255, 131), (197, 173), (137, 167), (276, 110), (177, 277), (291, 53), (201, 240), (260, 214), (136, 256), (173, 259), (292, 139)]","[(622, 106, 773, 106, 773, 329, 622, 329), (158, 45, 413, 45, 413, 176, 158, 176), (367, 39, 564, 39, 564, 212, 367, 212), (757, 69, 894, 69, 894, 236, 757, 236), (14, 571, 290, 571, 290, 681, 14, 681), (371, 364, 548, 364, 548, 641, 371, 641), (227, 546, 518, 546, 518, 599, 227, 599), (73, 594, 274, 594, 274, 834, 73, 834), (80, 42, 340, 42, 340, 256, 80, 256), (533, 691, 669, 691, 669, 947, 533, 947), (772, 422, 945, 422, 945, 681, 772, 681), (41, 267, 333, 267, 333, 406, 41, 406)]"
"[(295, 250), (260, 175), (236, 102), (210, 183), (211, 118), (173, 87), (167, 83), (70, 140), (241, 235), (273, 250)]","[(37, 699, 332, 699, 332, 949, 37, 949), (310, 499, 570, 499, 570, 674, 310, 674), (491, 95, 727, 95, 727, 197, 491, 197), (299, 319, 509, 319, 509, 502, 299, 502), (583, 242, 794, 242, 794, 360, 583, 360), (617, 209, 790, 209, 790, 296, 617, 296), (497, 66, 664, 66, 664, 149, 497, 149), (420, 115, 490, 115, 490, 255, 420, 255), (195, 226, 436, 226, 436, 461, 195, 461), (208, 127, 481, 127, 481, 377, 208, 377)]"
"[(57, 207), (104, 143), (219, 221)]","[(415, 627, 472, 627, 472, 834, 415, 834), (826, 550, 930, 550, 930, 693, 826, 693), (16, 50, 235, 50, 235, 271, 16, 271)]"
"[(82, 140), (241, 118)]","[(393, 815, 475, 815, 475, 955, 393, 955), (610, 160, 851, 160, 851, 278, 610, 278)]"
"[(263, 74), (195, 107), (207, 124), (69, 170), (147, 59), (223, 199), (119, 197), (139, 228), (121, 262), (164, 191), (51, 106)]","[(689, 561, 952, 561, 952, 635, 689, 635), (361, 317, 556, 317, 556, 424, 361, 424), (375, 357, 582, 357, 582, 481, 375, 481), (656, 686, 725, 686, 725, 856, 656, 856), (147, 477, 294, 477, 294, 536, 147, 536), (597, 555, 820, 555, 820, 754, 597, 754), (722, 506, 841, 506, 841, 703, 722, 703), (151, 477, 290, 477, 290, 705, 151, 705), (793, 320, 914, 320, 914, 582, 793, 582), (248, 59, 412, 59, 412, 250, 248, 250), (62, 393, 113, 393, 113, 499, 62, 499)]"
"[(146, 131), (208, 71), (264, 144), (290, 245), (143, 290), (121, 66), (105, 116)]","[(733, 51, 879, 51, 879, 182, 733, 182), (765, 156, 973, 156, 973, 227, 765, 227), (509, 480, 773, 480, 773, 624, 509, 624), (697, 89, 987, 89, 987, 334, 697, 334), (428, 646, 571, 646, 571, 936, 428, 936), (392, 579, 513, 579, 513, 645, 392, 645), (51, 398, 156, 398, 156, 514, 51, 514)]"
"[(155, 174), (88, 129), (90, 198), (102, 247), (143, 268), (62, 260), (256, 125), (243, 84), (148, 50)]","[(661, 239, 816, 239, 816, 413, 661, 413), (38, 24, 126, 24, 126, 153, 38, 153), (232, 311, 322, 311, 322, 509, 232, 509), (374, 432, 476, 432, 476, 679, 374, 679), (640, 301, 783, 301, 783, 569, 640, 569), (314, 35, 376, 35, 376, 295, 314, 295), (733, 427, 989, 427, 989, 552, 733, 552), (724, 313, 967, 313, 967, 397, 724, 397), (662, 795, 810, 795, 810, 845, 662, 845)]"
"[(263, 300)]","[(194, 83, 457, 83, 457, 383, 194, 383)]"
"[(245, 268), (99, 130), (250, 246), (76, 95), (188, 276), (154, 293)]","[(180, 269, 425, 269, 425, 537, 180, 537), (206, 560, 305, 560, 305, 690, 206, 690), (70, 17, 320, 17, 320, 263, 70, 263), (917, 190, 993, 190, 993, 285, 917, 285), (201, 266, 389, 266, 389, 542, 201, 542), (12, 55, 166, 55, 166, 348, 12, 348)]"
"[(84, 137), (205, 274)]","[(582, 440, 666, 440, 666, 577, 582, 577), (646, 88, 851, 88, 851, 362, 646, 362)]"
"[(101, 129), (107, 100), (200, 173), (140, 123), (68, 117), (199, 92), (190, 195), (130, 271), (89, 279), (104, 240)]","[(447, 157, 548, 157, 548, 286, 447, 286), (844, 757, 951, 757, 951, 857, 844, 857), (73, 203, 273, 203, 273, 376, 73, 376), (33, 377, 173, 377, 173, 500, 33, 500), (635, 695, 703, 695, 703, 812, 635, 812), (337, 77, 536, 77, 536, 169, 337, 169), (304, 33, 494, 33, 494, 228, 304, 228), (206, 539, 336, 539, 336, 810, 206, 810), (5, 60, 94, 60, 94, 339, 5, 339), (601, 362, 705, 362, 705, 602, 601, 602)]"
"[(241, 75), (95, 149), (121, 191), (275, 87), (205, 171), (118, 125), (124, 199), (129, 94), (109, 238), (171, 252), (221, 92), (145, 189)]","[(703, 419, 944, 419, 944, 494, 703, 494), (807, 683, 902, 683, 902, 832, 807, 832), (625, 9, 746, 9, 746, 200, 625, 200), (377, 793, 652, 793, 652, 880, 377, 880), (13, 411, 218, 411, 218, 582, 13, 582), (345, 93, 463, 93, 463, 218, 345, 218), (617, 652, 741, 652, 741, 851, 617, 851), (508, 752, 637, 752, 637, 846, 508, 846), (491, 83, 600, 83, 600, 321, 491, 321), (774, 642, 945, 642, 945, 894, 774, 894), (341, 459, 562, 459, 562, 551, 341, 551), (383, 794, 528, 794, 528, 983, 383, 983)]"
"[(168, 279), (230, 168), (154, 177), (170, 50), (170, 282), (53, 189), (91, 204)]","[(403, 524, 571, 524, 571, 803, 403, 803), (356, 104, 586, 104, 586, 272, 356, 272), (811, 291, 965, 291, 965, 468, 811, 468), (716, 166, 886, 166, 886, 216, 716, 216), (178, 688, 348, 688, 348, 970, 178, 970), (39, 472, 92, 472, 92, 661, 39, 661), (892, 476, 983, 476, 983, 680, 892, 680)]"
"[(247, 161), (225, 134), (235, 84)]","[(15, 496, 262, 496, 262, 657, 15, 657), (217, 351, 442, 351, 442, 485, 217, 485), (280, 885, 515, 885, 515, 969, 280, 969)]"
"[(63, 249), (90, 152), (134, 90), (193, 128), (253, 172), (270, 63), (205, 241), (234, 182)]","[(67, 690, 130, 690, 130, 939, 67, 939), (3, 550, 93, 550, 93, 702, 3, 702), (149, 227, 283, 227, 283, 317, 149, 317), (472, 469, 665, 469, 665, 597, 472, 597), (165, 781, 418, 781, 418, 953, 165, 953), (444, 712, 714, 712, 714, 775, 444, 775), (581, 431, 786, 431, 786, 672, 581, 672), (270, 519, 504, 519, 504, 701, 270, 701)]"
"[(196, 265), (110, 69), (212, 251), (60, 117), (116, 135), (202, 236)]","[(329, 591, 525, 591, 525, 856, 329, 856), (830, 736, 940, 736, 940, 805, 830, 805), (330, 656, 542, 656, 542, 907, 330, 907), (639, 598, 699, 598, 699, 715, 639, 715), (98, 236, 214, 236, 214, 371, 98, 371), (494, 682, 696, 682, 696, 918, 494, 918)]"
"[(185, 180), (163, 203), (137, 150), (98, 81), (65, 141), (292, 155), (290, 212), (286, 257), (292, 256), (190, 204), (87, 93)]","[(52, 148, 237, 148, 237, 328, 52, 328), (623, 155, 786, 155, 786, 358, 623, 358), (148, 68, 285, 68, 285, 218, 148, 218), (175, 437, 273, 437, 273, 518, 175, 518), (591, 394, 656, 394, 656, 535, 591, 535), (574, 48, 866, 48, 866, 203, 574, 203), (582, 391, 872, 391, 872, 603, 582, 603), (556, 40, 842, 40, 842, 297, 556, 297), (292, 518, 584, 518, 584, 774, 292, 774), (374, 168, 564, 168, 564, 372, 374, 372), (190, 242, 277, 242, 277, 335, 190, 335)]"
"[(105, 225), (243, 206), (270, 292), (242, 269), (243, 217), (244, 181), (121, 125), (121, 52)]","[(167, 719, 272, 719, 272, 944, 167, 944), (453, 681, 696, 681, 696, 887, 453, 887), (60, 128, 330, 128, 330, 420, 60, 420), (477, 657, 719, 657, 719, 926, 477, 926), (215, 8, 458, 8, 458, 225, 215, 225), (105, 278, 349, 278, 349, 459, 105, 459), (800, 692, 921, 692, 921, 817, 800, 817), (583, 712, 704, 712, 704, 764, 583, 764)]"
"[(252, 68), (69, 142), (133, 171), (136, 225), (94, 281), (159, 273), (170, 250)]","[(641, 399, 893, 399, 893, 467, 641, 467), (909, 559, 978, 559, 978, 701, 909, 701), (656, 529, 789, 529, 789, 700, 656, 700), (1, 111, 137, 111, 137, 336, 1, 336), (813, 553, 907, 553, 907, 834, 813, 834), (653, 523, 812, 523, 812, 796, 653, 796), (23, 29, 193, 29, 193, 279, 23, 279)]"
"[(266, 120), (194, 64), (254, 108), (293, 194), (64, 164), (97, 208), (53, 261), (81, 52), (88, 187)]","[(86, 612, 352, 612, 352, 732, 86, 732), (582, 507, 776, 507, 776, 571, 582, 571), (663, 611, 917, 611, 917, 719, 663, 719), (392, 740, 685, 740, 685, 934, 392, 934), (207, 705, 271, 705, 271, 869, 207, 869), (713, 292, 810, 292, 810, 500, 713, 500), (583, 36, 636, 36, 636, 297, 583, 297), (780, 825, 861, 825, 861, 877, 780, 877), (565, 784, 653, 784, 653, 971, 565, 971)]"
"[(204, 187), (171, 82), (209, 92), (262, 141)]","[(139, 811, 343, 811, 343, 998, 139, 998), (475, 173, 646, 173, 646, 255, 475, 255), (126, 789, 335, 789, 335, 881, 126, 881), (164, 176, 426, 176, 426, 317, 164, 317)]"
"[(101, 144), (189, 74), (253, 288), (290, 200), (208, 101), (271, 70), (98, 210), (74, 92)]","[(222, 136, 323, 136, 323, 280, 222, 280), (357, 877, 546, 877, 546, 951, 357, 951), (370, 650, 623, 650, 623, 938, 370, 938), (287, 243, 577, 243, 577, 443, 287, 443), (311, 96, 519, 96, 519, 197, 311, 197), (648, 181, 919, 181, 919, 251, 648, 251), (728, 626, 826, 626, 826, 836, 728, 836), (640, 514, 714, 514, 714, 606, 640, 606)]"
"[(58, 95), (256, 216), (133, 134), (208, 167), (234, 252), (64, 146), (267, 87), (56, 205)]","[(670, 292, 728, 292, 728, 387, 670, 387), (138, 423, 394, 423, 394, 639, 138, 639), (371, 653, 504, 653, 504, 787, 371, 787), (400, 277, 608, 277, 608, 444, 400, 444), (647, 206, 881, 206, 881, 458, 647, 458), (152, 371, 216, 371, 216, 517, 152, 517), (582, 862, 849, 862, 849, 949, 582, 949), (524, 596, 580, 596, 580, 801, 524, 801)]"
"[(218, 135), (119, 96), (196, 78), (50, 286), (98, 100), (238, 160), (179, 238), (56, 286)]","[(588, 389, 806, 389, 806, 524, 588, 524), (418, 579, 537, 579, 537, 675, 418, 675), (224, 885, 420, 885, 420, 963, 224, 963), (855, 556, 905, 556, 905, 842, 855, 842), (856, 564, 954, 564, 954, 664, 856, 664), (320, 561, 558, 561, 558, 721, 320, 721), (578, 609, 757, 609, 757, 847, 578, 847), (492, 499, 548, 499, 548, 785, 492, 785)]"
"[(188, 244), (178, 223), (128, 249), (263, 65), (56, 153), (293, 146), (180, 296)]","[(564, 200, 752, 200, 752, 444, 564, 444), (68, 681, 246, 681, 246, 904, 68, 904), (629, 176, 757, 176, 757, 425, 629, 425), (280, 772, 543, 772, 543, 837, 280, 837), (638, 730, 694, 730, 694, 883, 638, 883), (303, 148, 596, 148, 596, 294, 303, 294), (663, 292, 843, 292, 843, 588, 663, 588)]"
"[(226, 261), (188, 150), (225, 286), (63, 280), (279, 73), (211, 111), (120, 155), (243, 212), (81, 163), (61, 152), (71, 208)]","[(484, 548, 710, 548, 710, 809, 484, 809), (178, 284, 366, 284, 366, 434, 178, 434), (87, 641, 312, 641, 312, 927, 87, 927), (409, 436, 472, 436, 472, 716, 409, 716), (127, 615, 406, 615, 406, 688, 127, 688), (642, 179, 853, 179, 853, 290, 642, 290), (541, 254, 661, 254, 661, 409, 541, 409), (350, 399, 593, 399, 593, 611, 350, 611), (846, 701, 927, 701, 927, 864, 846, 864), (538, 152, 599, 152, 599, 304, 538, 304), (361, 48, 432, 48, 432, 256, 361, 256)]"
"[(213, 133), (180, 131), (125, 60), (164, 240)]","[(710, 273, 923, 273, 923, 406, 710, 406), (366, 21, 546, 21, 546, 152, 366, 152), (355, 140, 480, 140, 480, 200, 355, 200), (520, 273, 684, 273, 684, 513, 520, 513)]"
"[(256, 281), (146, 59), (141, 194), (296, 134), (270, 151), (103, 220), (111, 83), (170, 112), (92, 59)]","[(78, 246, 334, 246, 334, 527, 78, 527), (536, 323, 682, 323, 682, 382, 536, 382), (43, 571, 184, 571, 184, 765, 43, 765), (210, 322, 506, 322, 506, 456, 210, 456), (589, 80, 859, 80, 859, 231, 589, 231), (354, 376, 457, 376, 457, 596, 354, 596), (422, 507, 533, 507, 533, 590, 422, 590), (668, 104, 838, 104, 838, 216, 668, 216), (257, 132, 349, 132, 349, 191, 257, 191)]"
"[(60, 168), (285, 212), (223, 293), (191, 150)]","[(343, 828, 403, 828, 403, 996, 343, 996), (653, 94, 938, 94, 938, 306, 653, 306), (117, 227, 340, 227, 340, 520, 117, 520), (85, 375, 276, 375, 276, 525, 85, 525)]"
"[(253, 242), (269, 225), (282, 125), (295, 258), (207, 184), (171, 227), (131, 237), (183, 82)]","[(505, 99, 758, 99, 758, 341, 505, 341), (141, 501, 410, 501, 410, 726, 141, 726), (458, 108, 740, 108, 740, 233, 458, 233), (497, 394, 792, 394, 792, 652, 497, 652), (155, 1, 362, 1, 362, 185, 155, 185), (450, 193, 621, 193, 621, 420, 450, 420), (277, 35, 408, 35, 408, 272, 277, 272), (325, 442, 508, 442, 508, 524, 325, 524)]"
"[(197, 228), (298, 67), (223, 296), (281, 152)]","[(33, 567, 230, 567, 230, 795, 33, 795), (461, 19, 759, 19, 759, 86, 461, 86), (203, 393, 426, 393, 426, 689, 203, 689), (44, 618, 325, 618, 325, 770, 44, 770)]"
"[(74, 69)]","[(898, 730, 972, 730, 972, 799, 898, 799)]"
"[(258, 60), (134, 175), (61, 160), (120, 93), (119, 176), (256, 117), (97, 235)]","[(305, 668, 563, 668, 563, 728, 305, 728), (847, 203, 981, 203, 981, 378, 847, 378), (90, 603, 151, 603, 151, 763, 90, 763), (192, 525, 312, 525, 312, 618, 192, 618), (655, 675, 774, 675, 774, 851, 655, 851), (465, 570, 721, 570, 721, 687, 465, 687), (611, 14, 708, 14, 708, 249, 611, 249)]"
"[(55, 292), (288, 278), (224, 56), (255, 147), (218, 77), (125, 135), (166, 295), (154, 270), (94, 240)]","[(38, 183, 93, 183, 93, 475, 38, 475), (531, 251, 819, 251, 819, 529, 531, 529), (85, 416, 309, 416, 309, 472, 85, 472), (486, 355, 741, 355, 741, 502, 486, 502), (358, 541, 576, 541, 576, 618, 358, 618), (94, 7, 219, 7, 219, 142, 94, 142), (325, 359, 491, 359, 491, 654, 325, 654), (48, 137, 202, 137, 202, 407, 48, 407), (904, 170, 998, 170, 998, 410, 904, 410)]"
"[(174, 127), (270, 199), (281, 206), (102, 259)]","[(306, 683, 480, 683, 480, 810, 306, 810), (660, 160, 930, 160, 930, 359, 660, 359), (325, 549, 606, 549, 606, 755, 325, 755), (422, 696, 524, 696, 524, 955, 422, 955)]"
"[(50, 91), (285, 246), (105, 268), (83, 225), (215, 105), (169, 206), (250, 179), (217, 191), (216, 106), (140, 92)]","[(564, 484, 614, 484, 614, 575, 564, 575), (546, 194, 831, 194, 831, 440, 546, 440), (416, 248, 521, 248, 521, 516, 416, 516), (530, 22, 613, 22, 613, 247, 530, 247), (277, 248, 492, 248, 492, 353, 277, 353), (483, 116, 652, 116, 652, 322, 483, 322), (598, 328, 848, 328, 848, 507, 598, 507), (137, 461, 354, 461, 354, 652, 137, 652), (595, 452, 811, 452, 811, 558, 595, 558), (104, 94, 244, 94, 244, 186, 104, 186)]"
"[(156, 69), (63, 150), (80, 114), (181, 290), (213, 221), (102, 71), (207, 223), (84, 243), (283, 64), (180, 165)]","[(580, 409, 736, 409, 736, 478, 580, 478), (785, 590, 848, 590, 848, 740, 785, 740), (660, 222, 740, 222, 740, 336, 660, 336), (228, 472, 409, 472, 409, 762, 228, 762), (320, 23, 533, 23, 533, 244, 320, 244), (133, 245, 235, 245, 235, 316, 133, 316), (791, 719, 998, 719, 998, 942, 791, 942), (547, 327, 631, 327, 631, 570, 547, 570), (497, 90, 780, 90, 780, 154, 497, 154), (291, 744, 471, 744, 471, 909, 291, 909)]"
"[(78, 121), (110, 159)]","[(4, 380, 82, 380, 82, 501, 4, 501), (466, 623, 576, 623, 576, 782, 466, 782)]"
"[(231, 124), (298, 119), (115, 74), (188, 154), (256, 137), (117, 250), (170, 189), (147, 229), (192, 232), (90, 92), (150, 62)]","[(214, 489, 445, 489, 445, 613, 214, 613), (152, 426, 450, 426, 450, 545, 152, 545), (633, 398, 748, 398, 748, 472, 633, 472), (503, 30, 691, 30, 691, 184, 503, 184), (494, 369, 750, 369, 750, 506, 494, 506), (289, 220, 406, 220, 406, 470, 289, 470), (739, 356, 909, 356, 909, 545, 739, 545), (794, 288, 941, 288, 941, 517, 794, 517), (239, 638, 431, 638, 431, 870, 239, 870), (57, 204, 147, 204, 147, 296, 57, 296), (616, 364, 766, 364, 766, 426, 616, 426)]"
